FID,id_estacio,Direccion,Aproximaci,Lat_Y,Lon_X,CreationDate,Creator,EditDate,Editor,x,y
47,154,Avenida Kansas City,Calle Naranjito de Triana,37.394875,-5.968394,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664398.600000001,4494291.1
48,24,Calle León XIII,Calle Fray Isidoro de Sevilla,37.404034,-5.984668,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666210.199999999,4495574.5
49,155,Avenida Kansas City,Avenida El Greco,37.392906,-5.970766,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664662.600000001,4494015.2
50,25,Avenida de la Cruz Roja,Calle Albaida,37.403145,-5.981085,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665811.300000001,4495450
51,156,Avenida Kansas City,Baltasar Gracián,37.391483,-5.972649,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664872.199999999,4493815.9
52,26,Avenida de Miraflores,Calle Manuel Ródenas,37.402542,-5.977635,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665427.300000001,4495365.5
53,157,Avenida Cardenal Bueno Monreal,Avenida Ramón Carande,37.369778,-5.978165,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665486.300000001,4490775.2
54,27,Avenida de Llanes,Calle Escultor Francisco Buiza,37.403881,-5.972099,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664811,4495553.1
55,28,Calle Rafael Salgado,Calle Castillo Alcala de Guadaira,37.360332,-5.976723,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665325.800000001,4489452.1
56,158,Avenida Cardenal Bueno Monreal,Calle Bogota,37.368866,-5.981573,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-665865.699999999,4490647.4
57,29,Carretera de Carmona,Avenida de Llanes,37.402534,-5.970082,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664586.5,4495364.3
58,159,Avenida Cardenal Bueno Monreal,Avenida Manuel Siurot,37.368046,-5.984859,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-666231.5,4490532.6
59,30,Avenida Eduardo Dato,Detrás Estadio Sánchez Pizjuan,37.382519,-5.970812,10/4/2014 9:21:32 PM,Ayto.Sevilla,10/4/2014 9:21:32 PM,Ayto.Sevilla,-664667.800000001,4492560
