FID,LAYER,NUMERO,AROS,INSTALADO,CreationDate,Creator,EditDate,Editor,x,y
160,ESTE,232,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-657115.600000001,4492451.1
161,TRIANA,126,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-668651.399999999,4495928.3
162,MACARENA,449,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666763.399999999,4495795.1
163,ESTE,399,3,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-659623.600000001,4495329.1
164,ESTE,233,8,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-659258,4493801.9
165,CASCO_ANTIGUO,45,6,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-667769.5,4494724.1
166,TRIANA,128,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-668231,4496311.5
167,ESTE,234,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-658670.600000001,4493260.5
168,MACARENA,473,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666478.300000001,4495571.2
169,CASCO_ANTIGUO,44,6,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-667578.100000001,4494603.6
170,ESTE,398,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-659109.399999999,4495726.7
171,TRIANA,129,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-669107,4493314.7
172,ESTE,397,3,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-661090.899999999,4494861.6
173,ESTE,235,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-659691.399999999,4494691.6
174,CASCO_ANTIGUO,42,6,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-667296.5,4494405.4
175,ESTE,446,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-659490.300000001,4494455.5
176,TRIANA,130,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-668739.100000001,4493199.9
177,ESTE,236,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-659542.899999999,4494790.8
178,ESTE,237,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-660310.399999999,4495976.5
179,TRIANA,131,3,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-668792.399999999,4493093.2
180,ESTE,447,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-659205.199999999,4493843.4
181,CASCO_ANTIGUO,43,6,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-667301.300000001,4494555.2
182,ESTE,396,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-661493.600000001,4495771.1
183,ESTE,395,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-660931.199999999,4495981.6
184,ESTE,448,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-659526.600000001,4495267.6
185,CASCO_ANTIGUO,41,6,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-667032.300000001,4494587.3
186,TRIANA,132,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-668912.199999999,4492664.3
187,MACARENA_NORTE,172,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-664490,4495913.6
188,ESTE,394,6,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-659994.5,4496886.9
189,CASCO_ANTIGUO,40,6,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666895.699999999,4494559.6
190,CASCO_ANTIGUO,67,6,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666929.600000001,4494453
191,MACARENA_NORTE,173,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-664318.699999999,4495494.1
192,ESTE,392,3,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-658891.5,4496333.8
193,LOS REMEDIOS,510,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-667741.199999999,4492020.3
194,CASCO_ANTIGUO,114,6,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-667473.600000001,4495260.1
195,ESTE,391,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-659098.300000001,4496163.5
196,TRIANA,133,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-669003.199999999,4492482.8
197,MACARENA,223,3,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666610.899999999,4495476.8
198,ESTE,390,3,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-660029.100000001,4496586
199,TRIANA,135,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-668756.699999999,4492748
200,CASCO_ANTIGUO,51,6,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-667281.199999999,4495236.6
201,LOS REMEDIOS,511,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-667934,4491465.2
202,CASCO_ANTIGUO,52,6,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-667247.600000001,4495213.7
203,ESTE,389,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-659917.399999999,4496802.1
204,TRIANA,136,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-668708.699999999,4492530
205,MACARENA,177,3,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666643.100000001,4495476.3
206,LOS REMEDIOS,512,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-669235.100000001,4490654.4
207,BELLAVISTA_LA PALMERA,460,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-664751.800000001,4482971
208,CASCO_ANTIGUO,53,6,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-667244.600000001,4495291.9
209,TRIANA,137,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-668301.100000001,4492909.6
210,MACARENA,179,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666387.5,4495786.3
211,TRIANA,536,7,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-668666,4496423.1
212,CASCO_ANTIGUO,54,6,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-667137.100000001,4495468.4
213,BELLAVISTA_LA PALMERA,459,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-664204.600000001,4483715.5
214,TRIANA,138,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-669120.399999999,4492631.7
215,TRIANA,538,9,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-668581.100000001,4496407.4
216,MACARENA,180,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666312.199999999,4495433.9
217,CASCO_ANTIGUO,55,6,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-666752,4495397.1
218,BELLAVISTA_LA PALMERA,458,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-664101,4484058.1
219,MACARENA,181,4,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-665721.600000001,4495680.3
220,MACARENA_NORTE,535,5,SI,10/4/2014 9:00:08 PM,Ayto.Sevilla,10/4/2014 9:00:08 PM,Ayto.Sevilla,-665976.300000001,4497165.1
